Código,Nome,Período,Duração,Dependências
CEA038, QUIMICA GERAL,1,1,
CEA039, QUIMICA GERAL EXPERIMENTAL,1,1,
CEA049, GEOMETRIA ANALITICA E ALGEBRA LINEAR,1,1,
CEA050, CALCULO DIFERENCIAL E INTEGRAL I,1,1,
CSI030, PROGRAMACAO DE COMPUTADORES I,1,1,
CSI201, INTRODUCAO A ENGENHARIA DE COMPUTACAO,1,1,
CSI427, METODOLOGIA DE PESQUISA APLICADA A COMPUTACAO,1,1,
EAD707, COMUNICACAO E EXPRESSAO,1,1,
CEA051, CALCULO DIFERENCIAL E INTEGRAL II,2,1,CEA049;CEA050
CEA055, ESTATISTICA E PROBABILIDADE,2,1,CEA050
CEA061, FISICA I,2,1,CEA049;CEA050
CSI032, PROGRAMACAO DE COMPUTADORES II,2,1,CSI030
CSI443, MATEMATICA DISCRETA,2,1,
CEA052, CALCULO DIFERENCIAL E INTEGRAL III,3,1,CEA051
CEA056, INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIA,3,1,CEA051
CEA062, FISICA II,3,1,CEA038;CEA039;CEA051;CEA061
CEA341, PRINCIPIOS DE ELETRONICA DIGITAL,3,1,CSI030
CSI488, ALGORITMOS E ESTRUTURA DE DADOS I,3,1,CSI030
CEA063, FISICA III,4,1,CEA038;CEA039;CEA051;CEA055;CEA061
CEA552, CIRCUITOS ELETRICOS I,4,1,CEA056;CEA062
CEA562, SINAIS E SISTEMAS,4,1,CEA056
CSI429, ALGORITMOS E ESTRUTURA DE DADOS II,4,1,CSI032;CSI488
CSI466, TEORIA DOS GRAFOS,4,1,CSI443;CSI488
CEA064, FISICA IV,5,1,CEA052;CEA056;CEA062;CEA063
CEA502, ELETROMAGNETISMO,5,1,CEA052;CEA063;CEA552
CSI148, ANALISE NUMERICA,5,1,CEA056;CSI030
CSI203, ORGANIZACAO E ARQUITETURA DE COMPUTADORES I,5,1,CEA341;CSI030
CSI485, ENGENHARIA DE SOFTWARE I,5,1,CSI032;CSI488
CEA561, ELETRONICA I,6,1,CEA552
CEA582, FUNDAMENTOS DE COMUNICACOES,6,1,CEA562
CSI440, BANCO DE DADOS I,6,1,CSI488
CSI509, ORGANIZACAO E ARQUITETURA DE COMPUTADORES II,6,1,CSI203
CSI546, PROJETO E ANALISE DE ALGORITMO,6,1,CSI466
CEA551, MODELAGEM E ANALISE DE SISTEMAS LINEARES,7,1,CEA064;CEA552;CSI148
CEA580, MICROPROCESSADORES E MICROCONTROLADORES,7,1,CSI203
CSI437, SISTEMAS OPERACIONAIS,7,1,CSI203;CSI488
CSI476, FUNDAMENTOS TEORICOS DA COMPUTACAO,7,1,CSI466
CSI508, COMPUTACAO GRAFICA,7,1,CSI488
CSI419, LINGUAGENS DE PROGRAMACAO,8,1,CSI476
CSI450, INTERACAO HUMANO-COMPUTADOR,8,1,CSI485
CSI457, INTELIGENCIA ARTIFICIAL,8,1,CSI466
CSI548, REDES DE COMPUTADORES I,8,1,CSI488
EAD344, TEORIA DA ADMINISTRACAO I,8,1,
CSI433, SISTEMAS DISTRIBUIDOS,9,1,CSI548
CSI495, TRABALHO DE CONCLUSAO DE CURSO I,9,1,
CSI506, COMPILADORES I,9,1,CSI476
CSI510, REDES DE COMPUTADORES II,9,1,CSI548
EAD351, FILOSOFIA E ETICA,9,1,
CEA066, FUNDAMENTOS DE CIENCIA DO AMBIENTE,10,1,CEA038;CEA039;CEA062;CEA063
CSI491, INFORMATICA E SOCIEDADE,10,1,
CSI496, TRABALHO DE CONCLUSAO DE CURSO II,10,1,CSI495
CSI693, AVALIACAO DE DESEMPENHO DE SISTEMAS,10,1,CSI433
