Código,Nome,Período,Duração,Dependências
EDU252,ESTUDOS HISTORICOS SOBRE EDUCACAO,1,1,
LET966,INTRODUCAO A LIBRAS,1,1,
MTM131,GEOMETRIA ANALITICA E CALCULO VETORIAL,1,1,
QUI251,QUIMICA GERAL EXPERIMENTAL I,1,1,
QUI252,SEMINARIOS DE GRADUACAO,1,1,
QUI253,QUIMICA GERAL I,1,1,
EDU253,ESTUDOS SOCIOLOGICOS SOBRE EDUCACAO,2,1,
EST202,ESTATISTICA E PROBABILIDADE,2,1,
MTM122,CALCULO DIFERENCIAL E INTEGRAL I,2,1,
QUI271,QUIMICA GERAL II,2,1,QUI251;QUI253
QUI272,QUIMICA GERAL EXPERIMENTAL II,2,1,QUI251;QUI253
EDU256,PSICOLOGIA DA EDUCACAO,3,1,
FIS106,FUNDAMENTOS DE MECANICA,3,1,
MIF001,MODULO INTERDISCIPLINAR DE FORMACAO I,3,1,
QUI227,FISICO-QUIMICA I,3,1,MTM122;QUI271;QUI272
QUI228,FISICO-QUIMICA EXPERIMENTAL I,3,1,MTM122;QUI271;QUI272
QUI241,QUIMICA INORGANICA EXPERIMENTAL I,3,1,QUI271;QUI272
QUI273,QUIMICA INORGANICA A,3,1,QUI271;QUI272
QUI274,ESTAGIO SUPERVISIONADO DE QUIMICA I,3,1,QUI271;QUI272
EDU254,POLITICA E GESTAO EDUCACIONAL,4,1,
QUI225,QUIMICA ORGANICA I,4,1,QUI271;QUI272
QUI226,QUIMICA ORGANICA EXPERIMENTAL I,4,1,QUI271;QUI272
QUI230,FISICO-QUIMICA II,4,1,QUI227;QUI228
QUI231,FISICO-QUIMICA EXPERIMENTAL II,4,1,QUI227;QUI228
QUI275,HISTORIA DA QUIMICA,4,1,QUI271;QUI272
QUI276,ESTAGIO SUPERVISIONADO DE QUIMICA II,4,1,QUI274
MIF002,MODULO INTERDISCIPLINAR DE FORMACAO II,5,1,
QUI193,QUIMICA ANALITICA A,5,1,QUI271;QUI272
QUI229,QUIMICA ORGANICA II,5,1,QUI225;QUI226
QUI233,QUIMICA ORGANICA EXPERIMENTAL II,5,1,QUI225;QUI226
QUI247,QUIMICA ANALITICA EXPERIMENTAL I,5,1,QUI271;QUI272
QUI270,METODOLOGIA DO ENSINO DE QUIMICA I,5,1,QUI276
QUI278,ESTAGIO SUPERVISIONADO DE QUIMICA III,5,1,QUI276
QUI130,ANALISE ORGANICA D,6,1,QUI229;QUI233
QUI248,QUIMICA ANALITICA II,6,1,QUI193;QUI247
QUI249,QUIMICA ANALITICA EXPERIMENTAL II,6,1,QUI193;QUI247
QUI279,METODOLOGIA DO ENSINO DE QUIMICA II,6,1,QUI270;QUI275
QUI280,DIDATICA DE ENSINO DE QUIMICA,6,1,QUI270
QUI281,ESTAGIO SUPERVISIONADO DE QUIMICA IV,6,1,QUI278
CBI256,BIOQUIMICA,7,1,QUI229;QUI233
FIS109,FUNDAMENTOS DE ELETROMAGNETISMO,7,1,FIS106;MTM122
QUI282,METODOLOGIA DO ENSINO DE QUIMICA III,7,1,QUI279
QUI283,ESTAGIO SUPERVISIONADO DE QUIMICA V,7,1,QUI281
QUI346,QUIMICA ANALITICA INSTRUMENTAL,7,1,QUI248;QUI249
FIS108,FUNDAMENTOS DE FLUIDOS OSCILACOES E ONDAS,8,1,FIS106
FIS110,FUNDAMENTOS DE OPTICA E QUANTICA,8,1,FIS109
GEO200,INTRODUCAO A MINERALOGIA,8,1,QUI251;QUI253
QUI169,QUIMICA AMBIENTAL A,8,1,QUI225;QUI226
QUI284,METODOLOGIA DO ENSINO DE QUIMICA IV,8,1,QUI282
QUI285,TRABALHO DE CONCLUSAO DE CURSO I,8,1,
MIF003,MODULO INTERDISCIPLINAR DE FORMACAO III,9,1,
QUI286,TRABALHO DE CONCLUSAO DE CURSO II,9,1,QUI285
